Latitude,Longitude,Stop Name,Stop Status
40.699311,-73.911253,PALMETTO ST/WYCKOFF AV,at stop
40.687372,-73.960082,GREENE AV/CLASSON AV,at stop
40.688529,-73.93049,GATES AV/MALCOLM X BL,at stop
40.686941,-73.944285,GATES AV/TOMPKINS AV,at stop
40.687292,-73.976871,FULTON ST/LAFAYETTE AV,at stop
40.69202,-73.919585,GATES AV/EVERGREEN AV,approaching
40.685554,-73.956331,GATES AV/FRANKLIN AV,approaching
40.691147,-73.986569,FULTON ST/JAY ST,approaching
40.68756,-73.977559,FULTON ST/LAFAYETTE AV,approaching
40.69409,-73.990461,CADMAN PZ W/TILLARY ST,approaching
40.691824,-73.919777,GATES AV/BUSHWICK AV,< 1 stop away
40.699579,-73.912153,GATES AV/IRVING AV,< 1 stop away
40.686863,-73.964486,GREENE AV/GRAND AV,< 1 stop away
40.686843,-73.945146,GATES AV/MARCY AV,< 1 stop away
40.695253,-73.989007,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
